name,latitude,longitude,2013,2014,2015,2016,2017,2018,2019
Avalon Solar,32.0014,-110.9606,,,75.265,79.764,78.22800000000000,77.069,73.955
Avalon Solar II,32.0009,-110.9584,,,,38.231,43.996,43.262,42.797000000000000
Avenal Park,35.9897,-120.11,13.353,12.789,12.753,12.761000000000000,10.667,10.547,10.326
Avra Valley Solar,32.3717,-111.2828,75.812,74.154,58.377,74.846,73.72500000000000,72.166,68.384
Axium Modesto Solar,37.7342,-120.9956,66.721,65.016,64.308,64.273,62.357,63.929,61.156
Ayrshire,35.2831,-81.6153,,,,,9.46,35.331,34.506
Azalea Solar  LLC,32.9808,-82.5917,0.707,14.741,13.503,14.279,13.707,12.462,13.001
B.R. Corcoran CSG,45.0695,-93.6432,,,,,0.7000000000000000,7.853,7.313
B.R. Sartell CSG,45.665,-94.2254,,,,,0.354,3.649,3.722
B.R. Sauk Rapids CSG,45.6236,-94.0782,,,,,0.706,8.031,7.397
BC Solar,42.175,-120.3598,,,,0.482,17.907,18.53,18.569
BG Stewart Solar Farm  LLC,34.9705,-80.3896,,,0.454,9.575000000000000,9.891,9.027000000000000,8.950000000000000
BNB Camden Solar,39.939,-75.108,,,,,0.197,5.11,5.527
BRE,36.3725,-78.5985,,,0.319,9.246,9.254,8.478,8.647
BWC Gibbs Brook,41.7749,-70.6959,,,,,,0,4.899
BWC Origination 18,41.6791,-70.8364,,,,,,0,4.934
BWC Wading River One  Two  Three CSG,42.0853,-71.5267,,,,,0.406,4.575,4.866
Babcock Solar Energy Center Hybrid,26.8616,-81.751,,,,0,164.072,164.642,159.523
Badger,34.839,-77.2288,,,,,,,6.944
Badger 1,33.498,-112.8135,3.876,40.078,39.706,41.342,40.069,40.448,38.976
Bailey Farm LLC,35.7875,-78.1397,,9.386000000000000,9.094,9.248,9.547,8.998,9.057
Bakatsias Solar,36.0724,-79.3475,,,,,0,6.929,7.7
Baker PV 1,36.2703,-77.0603,,,,0.016,5.555,7.817,8.764
Baker Point,39.5703,-77.3634,,,,,2.161,13.09,14.271
Bakersfield PV 1,35.325,-118.9815,,,,,0.152,10.813,10.134
Balm Solar,27.7697,-82.234,,,,,,24.189,135.899
Balsam,35.4589,-79.1739,,,0.003,9.543000000000000,9.718,9.024000000000000,9.09
Baltimore Church Solar  LLC,34.4667,-79.1524,,,,,,7.83,7.8740000000000000
Bar D,39.9237,-108.4627,,,,,,0,5.902
Barefoot Bay Solar Energy Center,27.8658,-80.5211,,,,,4.815,166.666,162.477
Barilla Solar,30.96,-103.35,,,33.883,60.923,45.043,47.563,57.74
Barker Solar  LLC,34.6356,-78.9287,,,,,0.156,9.185,9.229000000000000
Barnhill Road Solar  LLC,36.2692,-76.2995,,,,0,5.838,5.704,5.267
Barnstable Landfill,41.6597,-70.3956,,1.028,5.46,5.187,4.614,4.7250000000000000,4.896
Barnwell Solar,33.237,-81.351,,,,,5.602,11.561,10.82
Barrett PV,42.1622,-71.8645,,,,0,18.719,16.495,19.745
Bartow Solar Energy LLC,27.926,-81.8191,,,,,,10.278,12.538
